Regions,Year,HDI
Arab States,1990,0.5573110923981316
East Asia and the Pacific,1990,0.5172613065626945
Europe and Central Asia,1990,0.6526750093666508
Latin America and the Caribbean,1990,0.6258344902632808
South Asia,1990,0.43899825637571727
Sub-Saharan Africa,1990,0.3977997897599689
Arab States,2000,0.6128650780081684
East Asia and the Pacific,2000,0.597364134149204
Europe and Central Asia,2000,0.6678383084741951
Latin America and the Caribbean,2000,0.6855771535155255
South Asia,2000,0.5032744430012256
Sub-Saharan Africa,2000,0.4209439253417084
Arab States,2010,0.6746187824650671
East Asia and the Pacific,2010,0.692032740837219
Europe and Central Asia,2010,0.7333036147855121
Latin America and the Caribbean,2010,0.7312779087542102
South Asia,2010,0.584444653491898
Sub-Saharan Africa,2010,0.4980348816212509
Arab States,2012,0.6864222298598948
East Asia and the Pacific,2012,0.7068152789444406
Europe and Central Asia,2012,0.7490680440459337
Latin America and the Caribbean,2012,0.7404753543971389
South Asia,2012,0.6017796145339317
Sub-Saharan Africa,2012,0.5139239295913899
Arab States,2014,0.6902951723420203
East Asia and the Pacific,2014,0.7201826720066202
Europe and Central Asia,2014,0.761135703943764
Latin America and the Caribbean,2014,0.7506895366940406
South Asia,2014,0.6180034654478764
Sub-Saharan Africa,2014,0.5261231866209378
Arab States,2015,0.6939222845245835
East Asia and the Pacific,2015,0.7247895753375628
Europe and Central Asia,2015,0.7641459067001601
Latin America and the Caribbean,2015,0.7544068145335967
South Asia,2015,0.6251471574025586
Sub-Saharan Africa,2015,0.5311657080896678
Arab States,2016,0.6967329339415816
East Asia and the Pacific,2016,0.7297340060868058
Europe and Central Asia,2016,0.7669182009381016
Latin America and the Caribbean,2016,0.7566307528488385
South Asia,2016,0.6338921911350409
Sub-Saharan Africa,2016,0.5342251471042083
Arab States,2017,0.6989546547775298
East Asia and the Pacific,2017,0.7334344181150004
Europe and Central Asia,2017,0.7707206465944461
Latin America and the Caribbean,2017,0.757989461237158
South Asia,2017,0.6378349522966511
Sub-Saharan Africa,2017,0.5371359746408567
